Titlu	Autor	communal_coef	aesthetic_coef	dark_coef	thrilling_coef	cerebral_coef	Link	Description
Din cer au căzut trei mere	Narine Abgaryan	5	10	1	4	2	https://www.goodreads.com/book/show/58612458-din-cer-au-c-zut-trei-mere?from_search=true&from_srp=true&qid=sFPQlpSGB4&rank=1	În Maran, viața este suspendată între realitate și basm, într-un timp care prinde contur încet-încet, luând dureros forma istoriei. În acest sat de piatră aflat sub legea credințelor străvechi de pe vârful unui munte armean, războiul și dezastrele naturale zdruncină pacea fragilă a unor oameni ieșiți din comun. Doar câțiva vor supraviețui și vor putea spune povestea unui veac. Printre ei, Anatolia și Vasili, a căror iubire neașteptată salvează lumea. Anatolia, a cărei sarcină târzie, miraculoasă, amintește de sarcina Sarei, este, la 58 de ani, cea mai tânără locuitoare a satului. Ea aduce pe lume o fetiță, la capătul unui lung șir de drame. Viața sa, ca și cea a lui Vasili, a fost marcată de suferință, moarte, luptă și îndârjire, dar și de evenimente providențiale și semne inexplicabile, precum îngerii care coboară din cer să adune sufletele celor care mor. Apariția unui misterios păun alb, la sfârșitul unei cumplite foamete care a secerat viețile copiiilor din sat, stă sub semnul fantasticului. Misiunea sacră a splendidei păsări este să-l protejeze pe singurul băiat din Maran, un orfan pe care bunicii îl ocrotesc cu fervoare. Sub protecția acestui geniu bun, copilul supraviețuiește, crește, se căsătorește departe, are un fiu, iar întoarcerea lui în Maran și nașterea fetiței Anatoliei sunt semnele unei mântuiri. 
Memoriile unei gheișe	Arthur Golden	10	4	3	4	4	https://www.goodreads.com/book/show/9991719-memoriile-unei-ghei-e?from_search=true&from_srp=true&qid=vhXQpbqvA9&rank=1	Ce este o gheisa? Un obiect al dorintei. O opera de arta in miscare. Un actor, un artizan, un entertainer, dupa traditia japoneza. Un tip uman la granita cliseului cultural, imposibil de redat in categoriile occidentale. Sau poate doar o femeie care poseda, in cea mai inalta masura, rafinamentul artelor lumesti. Chiyo, o fata dintr-un sat de pescari, este vanduta unei okiya pentru a fi initiata in artele gheiselor. Ritualurile seductiei sunt nenumarate, intr-o lume al carei esafodaj se sprijina pe culorile unui chimono, pe dezgolirea unei cefe pictate, pe licitarea virginitatii unei adolescente sau pe teserea unei intrigi de budoar. Sayuri, pe numele ei de gheisa, ajunge sa stapaneasca destine, sa detina secrete si sa construiasca un imperiu al erotismului ritualic.
Trăgători și mistificatori. Contrarevoluția Securității în decembrie 1989	Andrei Ursu	1	4	4	1	10	https://www.goodreads.com/book/show/49245729-tr-g-tori-i-mistificatori-contrarevolu-ia-securit-ii-n-decembrie-198?from_search=true&from_srp=true&qid=IblunFgZpr&rank=1	Ziua în care dictatura comunistă a fost înlăturată în România, 22 decembrie 1989, și cele care au urmat stîrnesc și astăzi controverse cu privire la ceea ce s-a întîmplat de fapt. O problemă rămasă încă fără răspuns și care alimentează disensiuni între susținătorii diferitelor teorii despre cele petrecute este identitatea teroriștilor care au deschis focul asupra civililor și a militarilor după fuga dictatorului. Andrei Ursu, Roland O. Thomasson și Mădălin Hodor analizează rolul jucat de instituțiile de forță ale țării înainte și după căderea regimului comunist, reconstituind momentele-cheie pe baza unor mărturii ale celor care s-au aflat în mijlocul Revoluției și a unor documente de arhivă recent descoperite. Cu ajutorul acestora se aduc noi dovezi care, coroborate, susțin ideea că împușcarea revoluționarilor după 22 decembrie nu a fost „foc fratricid” cauzat de panica și haosul acelor zile, ci urmarea unui scenariu dintr-un plan pus la punct cu cîțiva ani înainte. La trei decenii după căderea comunismului, Trăgători și mistificatori aruncă o nouă lumină asupra acelor evenimente sîngeroase și face un pas important către aflarea adevăraților vinovați de rănirea și uciderea unor oameni în lupta pentru libertate a românilor.
The Swerve: How the World Became Modern	Stephen Greenblatt	3	8	6	1	10	https://www.goodreads.com/book/show/13707734-the-swerve?from_search=true&from_srp=true&qid=Zpo4EavHA3&rank=1	One of the world's most celebrated scholars, Stephen Greenblatt has crafted both an innovative work of history and a thrilling story of discovery, in which one manuscript, plucked from a thousand years of neglect, changed the course of human thought and made possible the world as we know it. Nearly six hundred years ago, a short, genial, cannily alert man in his late thirties took a very old manuscript off a library shelf, saw with excitement what he had discovered, and ordered that it be copied. That book was the last surviving manuscript of an ancient Roman philosophical epic, On the Nature of Things, by Lucretius—a beautiful poem of the most dangerous ideas: that the universe functioned without the aid of gods, that religious fear was damaging to human life, and that matter was made up of very small particles in eternal motion, colliding and swerving in new directions. The copying and translation of this ancient book—the greatest discovery of the greatest book-hunter of his age—fueled the Renaissance, inspiring artists such as Botticelli and thinkers such as Giordano Bruno; shaped the thought of Galileo and Freud, Darwin and Einstein; and had a revolutionary influence on writers such as Montaigne and Shakespeare and even Thomas Jefferson.
East of Eden	John Steinbeck	5	5	5	5	3	https://www.goodreads.com/book/show/4406.East_of_Eden?from_search=true&from_srp=true&qid=8BRIkwmMXN&rank=1	In his journal, Nobel Prize winner John Steinbeck called East of Eden “the first book,” and indeed it has the primordial power and simplicity of myth. Set in the rich farmland of California’s Salinas Valley, this sprawling and often brutal novel follows the intertwined destinies of two families—the Trasks and the Hamiltons—whose generations helplessly reenact the fall of Adam and Eve and the poisonous rivalry of Cain and Abel. Adam Trask came to California from the East to farm and raise his family on the new rich land. But the birth of his twins, Cal and Aaron, brings his wife to the brink of madness, and Adam is left alone to raise his boys to manhood. One boy thrives nurtured by the love of all those around him; the other grows up in loneliness enveloped by a mysterious darkness. First published in 1952, East of Eden is the work in which Steinbeck created his most mesmerizing characters and explored his most enduring themes: the mystery of identity, the inexplicability of love, and the murderous consequences of love's absence. A masterpiece of Steinbeck's later years, East of Eden is a powerful and vastly ambitious novel that is at once a family saga and a modern retelling of the Book of Genesis. 
Preludes & Nocturnes	Neil Gaiman	1	9	10	5	1	https://www.goodreads.com/book/show/23754.Preludes_Nocturnes?from_search=true&from_srp=true&qid=SBP9XKwEV2&rank=1	New York Times best-selling author Neil Gaiman's transcendent series SANDMAN is often hailed as the definitive Vertigo title and one of the finest achievements in graphic storytelling. Gaiman created an unforgettable tale of the forces that exist beyond life and death by weaving ancient mythology, folklore and fairy tales with his own distinct narrative vision. In PRELUDES & NOCTURNES, an occultist attempting to capture Death to bargain for eternal life traps her younger brother Dream instead. After his 70 year imprisonment and eventual escape, Dream, also known as Morpheus, goes on a quest for his lost objects of power. On his arduous journey, Morpheus encounters Lucifer, John Constantine, and an all-powerful madman.
The Expanse (Leviathan Wakes)	 James S.A. Corey	1	5	5	5	3	https://www.goodreads.com/book/show/8855321-leviathan-wakes?from_search=true&from_srp=true&qid=wI8UyWqFCu&rank=1	Humanity has colonized the solar system—Mars, the Moon, the Asteroid Belt and beyond—but the stars are still out of our reach. Jim Holden is XO of an ice miner making runs from the rings of Saturn to the mining stations of the Belt. When he and his crew stumble upon a derelict ship, the Scopuli, they find themselves in possession of a secret they never wanted. A secret that someone is willing to kill for—and kill on a scale unfathomable to Jim and his crew. War is brewing in the system unless he can find out who left the ship and why. Detective Miller is looking for a girl. One girl in a system of billions, but her parents have money and money talks. When the trail leads him to the Scopuli and rebel sympathizer Holden, he realizes that this girl may be the key to everything. Holden and Miller must thread the needle between the Earth government, the Outer Planet revolutionaries, and secretive corporations—and the odds are against them. But out in the Belt, the rules are different, and one small ship can change the fate of the universe. 
The House in the Cerulean Sea	T.J. Klune	8	6	1	1	1	https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea?from_search=true&from_srp=true&qid=qdKeufCNA0&rank=1	Linus Baker leads a quiet, solitary life. At forty, he lives in a tiny house with a devious cat and his old records. As a Case Worker at the Department in Charge Of Magical Youth, he spends his days overseeing the well-being of children in government-sanctioned orphanages. When Linus is unexpectedly summoned by Extremely Upper Management he's given a curious and highly classified assignment: travel to Marsyas Island Orphanage, where six dangerous children reside: a gnome, a sprite, a wyvern, an unidentifiable green blob, a were-Pomeranian, and the Antichrist. Linus must set aside his fears and determine whether or not they’re likely to bring about the end of days. But the children aren’t the only secret the island keeps. Their caretaker is the charming and enigmatic Arthur Parnassus, who will do anything to keep his wards safe. As Arthur and Linus grow closer, long-held secrets are exposed, and Linus must make a choice: destroy a home or watch the world burn. An enchanting story, masterfully told, The House in the Cerulean Sea is about the profound experience of discovering an unlikely family in an unexpected place—and realizing that family is yours.
White Nights	Fyodor Dostoevsky	8	6	2	1	3	https://www.goodreads.com/book/show/1772910.White_Nights?from_search=true&from_srp=true&qid=coYw011f9u&rank=4	White Nights is a short story by Fyodor Dostoevsky that was published in 1848. Set in St. Petersburg, it is the story of a young man fighting his inner restlessness. A light and tender narrative, it delves into the torment and guilt of unrequited love. Both protagonists suffer from a deep sense of alienation that initially brings them together. A blend of romanticism and realism, the story appeals gently to the senses and feelings.
Enigma Otiliei	Enigma Otiliei	10	4	1	5	2	https://www.goodreads.com/book/show/1150759.Enigma_Otiliei?from_search=true&from_srp=true&qid=3PLHqej2NS&rank=1	Tânărul Felix Sima vine de la Iaşi la tutorele său, Costache Giurgiuveanu, la Bucureşti, ca să înceapă cursurile Universităţii de Medicină. Aici o întâlneşte pe fiica acestuia, Otilia. Enigma Otiliei este, pe scurt, un roman puternic, impecabil construit, un roman auctorial cu un narator care ştie tot şi comentează cu mare volubilitate toate actele eroilor şi toate situaţiile prin care aceştia trec. Ştie chiar ce se află scris într-un plic înainte ca adresantul să-l deschidă... Naratorul călinescian este, apoi, informat în toate direcţiile, de la arhitectură la moda timpului, şi speculaţiile lui fac parte din substanţa epică. G. Călinescu a înnoit şi din acest punct de vedere, structura şi limbajul romanului românesc, preluând şi reformulând un model deja clasicizat. (EUGEN SIMION)
Ocolul Pământului în 80 de zile	Jules Verne	4	8	1	10	2	https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days?from_search=true&from_srp=true&qid=Oj7KPxGrAO&rank=2	One night in the reform club, Phileas Fogg bets his companions that he can travel across the globe in just eighty days. Breaking the well-established routine of his daily life, he immediately sets off for Dover with his astonished valet Passepartout. Passing through exotic lands and dangerous locations, they seize whatever transportation is at hand—whether train or elephant—overcoming set-backs and always racing against the clock.
Insurgent	 Veronica Roth	7	1	4	8	1	https://www.goodreads.com/book/show/11735983-insurgent?from_search=true&from_srp=true&qid=mj2sxJh51Z&rank=1	One choice can transform you—or it can destroy you. But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she loves—and herself—while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love. Tris's initiation day should have been marked by celebration and victory with her chosen faction; instead, the day ended with unspeakable horrors. War now looms as conflict between the factions and their ideologies grows. And in times of war, sides must be chosen, secrets will emerge, and choices will become even more irrevocable—and even more powerful. Transformed by her own decisions but also by haunting grief and guilt, radical new discoveries, and shifting relationships, Tris must fully embrace her Divergence, even if she does not know what she may lose by doing so. New York Times bestselling author Veronica Roth's much-anticipated second book of the dystopian DIVERGENT series is another intoxicating thrill ride of a story, rich with hallmark twists, heartbreaks, romance, and powerful insights about human nature.
Pavlov (Cartea inginerului chimist)	C.F. Pavlov	5	1	1	1	10	-	Manual de chimie
Intoxicată	Roxana Erdei	7	4	3	3	3	https://www.goodreads.com/book/show/56384264-intoxicat	Cartea este despre intoxicarea cu dogmele societatii. Descrie trairile Roxanei aflandu-se intr-o relatie toxica cu un Londonez aratos.
